--- Scan at 2026-02-14 11:42:39 ---
PID: 11388 | Name: UserOOBEBroker.exe | Threads: 1
PID: 11540 | Name: ShellHost.exe | Threads: 7
PID: 11748 | Name: steamwebhelper.exe | Threads: 6
PID: 11768 | Name: RtkAudUService64.exe | Threads: 6
PID: 11812 | Name: msedgewebview2.exe | Threads: 10
PID: 11952 | Name: AggregatorHost.exe | Threads: 1
PID: 11968 | Name: svchost.exe | Threads: 8
PID: 12032 | Name: msedgewebview2.exe | Threads: 22
PID: 12184 | Name: CrossDeviceResume.exe | Threads: 6
PID: 12404 | Name: SecurityHealthService.exe | Threads: 9
PID: 12436 | Name: RuntimeBroker.exe | Threads: 3
PID: 12460 | Name: BridgeCommunication.exe | Threads: 4
PID: 12472 | Name: RuntimeBroker.exe | Threads: 2
PID: 12504 | Name: svchost.exe | Threads: 10
PID: 12900 | Name: svchost.exe | Threads: 5
PID: 12940 | Name: svchost.exe | Threads: 4
PID: 13016 | Name: svchost.exe | Threads: 7
PID: 13032 | Name: svchost.exe | Threads: 2
PID: 13132 | Name: svchost.exe | Threads: 12
PID: 13144 | Name: steamwebhelper.exe | Threads: 33
PID: 13212 | Name: TextInputHost.exe | Threads: 41
PID: 13244 | Name: ChatGPT.exe | Threads: 7
PID: 13320 | Name: msedgewebview2.exe | Threads: 30
PID: 13328 | Name: jusched.exe | Threads: 2
PID: 13616 | Name: FileSyncHelper.exe | Threads: 4
PID: 13680 | Name: svchost.exe | Threads: 3
PID: 13708 | Name: RuntimeBroker.exe | Threads: 13
PID: 13744 | Name: chrome.exe | Threads: 23
PID: 13824 | Name: msedgewebview2.exe | Threads: 9
PID: 13840 | Name: svchost.exe | Threads: 16
PID: 13844 | Name: jucheck.exe | Threads: 3
PID: 13856 | Name: ChatGPT.exe | Threads: 23
PID: 13948 | Name: svchost.exe | Threads: 14
PID: 13960 | Name: steamwebhelper.exe | Threads: 9
PID: 14020 | Name: unsecapp.exe | Threads: 3
PID: 14060 | Name: CrossDeviceService.exe | Threads: 17
PID: 14172 | Name: msedgewebview2.exe | Threads: 10
PID: 14176 | Name: SecurityHealthSystray.exe | Threads: 1
PID: 14316 | Name: Widgets.exe | Threads: 14
PID: 14380 | Name: pet.exe | Threads: 1
PID: 14396 | Name: dasHost.exe | Threads: 1
PID: 14420 | Name: msedgewebview2.exe | Threads: 49
PID: 14492 | Name: WidgetService.exe | Threads: 6
PID: 14580 | Name: cmd.exe | Threads: 1
PID: 14772 | Name: msedgewebview2.exe | Threads: 22
